0,1,2,3,4,5,6
715,20210907155100-19-3320200,高潮注意報,倉敷市,2021-09-07 15:51:00+09,2021-09-08 00:42:00+09,0日08時51分00秒間
716,20210904154500-10-3320200,大雨注意報,倉敷市,2021-09-04 15:45:00+09,2021-09-04 21:01:00+09,0日05時16分00秒間
717,20210904085100-10-3320200,大雨注意報,倉敷市,2021-09-04 08:51:00+09,2021-09-04 09:50:00+09,0日00時59分00秒間
718,20210904060300-18-3320200,洪水注意報,倉敷市,2021-09-04 06:03:00+09,2021-09-04 08:51:00+09,0日02時48分00秒間
719,20210904011000-03-3320200,大雨警報,倉敷市,2021-09-04 01:10:00+09,2021-09-04 08:51:00+09,0日07時41分00秒間
720,20210901101100-14-3320200,雷注意報,倉敷市,2021-09-01 10:11:00+09,2021-09-04 08:51:00+09,2日22時40分00秒間
721,20210904021500-04-3320200,洪水警報,倉敷市,2021-09-04 02:15:00+09,2021-09-04 06:03:00+09,0日03時48分00秒間
722,20210904011000-18-3320200,洪水注意報,倉敷市,2021-09-04 01:10:00+09,2021-09-04 02:15:00+09,0日01時05分00秒間
723,20210903143000-10-3320200,大雨注意報,倉敷市,2021-09-03 14:30:00+09,2021-09-04 01:10:00+09,0日10時40分00秒間
724,20210903143000-18-3320200,洪水注意報,倉敷市,2021-09-03 14:30:00+09,2021-09-03 17:35:00+09,0日03時05分00秒間
725,20210903094000-03-3320200,大雨警報,倉敷市,2021-09-03 09:40:00+09,2021-09-03 14:30:00+09,0日04時50分00秒間
726,20210903080500-04-3320200,洪水警報,倉敷市,2021-09-03 08:05:00+09,2021-09-03 14:30:00+09,0日06時25分00秒間
727,20210903064700-10-3320200,大雨注意報,倉敷市,2021-09-03 06:47:00+09,2021-09-03 09:40:00+09,0日02時53分00秒間
728,20210903073100-18-3320200,洪水注意報,倉敷市,2021-09-03 07:31:00+09,2021-09-03 08:05:00+09,0日00時34分00秒間
729,20210902180300-18-3320200,洪水注意報,倉敷市,2021-09-02 18:03:00+09,2021-09-02 19:50:00+09,0日01時47分00秒間
730,20210902170200-10-3320200,大雨注意報,倉敷市,2021-09-02 17:02:00+09,2021-09-02 18:51:00+09,0日01時49分00秒間
731,20210902032400-18-3320200,洪水注意報,倉敷市,2021-09-02 03:24:00+09,2021-09-02 11:25:00+09,0日08時01分00秒間
732,20210831214000-14-3320200,雷注意報,倉敷市,2021-08-31 21:40:00+09,2021-09-01 00:05:00+09,0日02時25分00秒間
733,20210830042000-14-3320200,雷注意報,倉敷市,2021-08-30 04:20:00+09,2021-08-30 19:07:00+09,0日14時47分00秒間
734,20210828100200-14-3320200,雷注意報,倉敷市,2021-08-28 10:02:00+09,2021-08-28 20:21:00+09,0日10時19分00秒間
735,20210827155500-14-3320200,雷注意報,倉敷市,2021-08-27 15:55:00+09,2021-08-27 19:08:00+09,0日03時13分00秒間
736,20210826095200-14-3320200,雷注意報,倉敷市,2021-08-26 09:52:00+09,2021-08-26 18:40:00+09,0日08時48分00秒間
737,20210825041500-14-3320200,雷注意報,倉敷市,2021-08-25 04:15:00+09,2021-08-25 19:51:00+09,0日15時36分00秒間
738,20210824154800-19-3320200,高潮注意報,倉敷市,2021-08-24 15:48:00+09,2021-08-25 01:48:00+09,0日10時00分00秒間
739,20210821100200-14-3320200,雷注意報,倉敷市,2021-08-21 10:02:00+09,2021-08-24 15:48:00+09,3日05時46分00秒間
740,20210822160300-19-3320200,高潮注意報,倉敷市,2021-08-22 16:03:00+09,2021-08-23 01:19:00+09,0日09時16分00秒間
741,20210821153500-19-3320200,高潮注意報,倉敷市,2021-08-21 15:35:00+09,2021-08-22 01:51:00+09,0日10時16分00秒間
742,20210820101000-19-3320200,高潮注意報,倉敷市,2021-08-20 10:10:00+09,2021-08-21 00:28:00+09,0日14時18分00秒間
743,20210820025200-10-3320200,大雨注意報,倉敷市,2021-08-20 02:52:00+09,2021-08-20 21:03:00+09,0日18時11分00秒間
744,20210816161300-14-3320200,雷注意報,倉敷市,2021-08-16 16:13:00+09,2021-08-20 16:03:00+09,3日23時50分00秒間
745,20210820025200-18-3320200,洪水注意報,倉敷市,2021-08-20 02:52:00+09,2021-08-20 08:20:00+09,0日05時28分00秒間
746,20210819022500-10-3320200,大雨注意報,倉敷市,2021-08-19 02:25:00+09,2021-08-19 16:04:00+09,0日13時39分00秒間
747,20210819022500-18-3320200,洪水注意報,倉敷市,2021-08-19 02:25:00+09,2021-08-19 10:21:00+09,0日07時56分00秒間
748,20210818073600-18-3320200,洪水注意報,倉敷市,2021-08-18 07:36:00+09,2021-08-18 10:20:00+09,0日02時44分00秒間
749,20210816040800-10-3320200,大雨注意報,倉敷市,2021-08-16 04:08:00+09,2021-08-18 10:20:00+09,2日06時12分00秒間
750,20210815112000-10-3320200,大雨注意報,倉敷市,2021-08-15 11:20:00+09,2021-08-15 23:15:00+09,0日11時55分00秒間
751,20210815064500-18-3320200,洪水注意報,倉敷市,2021-08-15 06:45:00+09,2021-08-15 19:40:00+09,0日12時55分00秒間
752,20210813104500-03-3320200,大雨警報,倉敷市,2021-08-13 10:45:00+09,2021-08-15 11:20:00+09,2日00時35分00秒間
753,20210813161100-04-3320200,洪水警報,倉敷市,2021-08-13 16:11:00+09,2021-08-15 06:45:00+09,1日14時34分00秒間
754,20210811161200-14-3320200,雷注意報,倉敷市,2021-08-11 16:12:00+09,2021-08-15 03:24:00+09,3日11時12分00秒間
755,20210813104500-18-3320200,洪水注意報,倉敷市,2021-08-13 10:45:00+09,2021-08-13 16:11:00+09,0日05時26分00秒間
756,20210813070300-10-3320200,大雨注意報,倉敷市,2021-08-13 07:03:00+09,2021-08-13 10:45:00+09,0日03時42分00秒間
757,20210812120300-10-3320200,大雨注意報,倉敷市,2021-08-12 12:03:00+09,2021-08-12 15:39:00+09,0日03時36分00秒間
758,20210812120300-18-3320200,洪水注意報,倉敷市,2021-08-12 12:03:00+09,2021-08-12 15:39:00+09,0日03時36分00秒間
759,20210812092900-03-3320200,大雨警報,倉敷市,2021-08-12 09:29:00+09,2021-08-12 12:03:00+09,0日02時34分00秒間
760,20210812092900-04-3320200,洪水警報,倉敷市,2021-08-12 09:29:00+09,2021-08-12 12:03:00+09,0日02時34分00秒間
761,20210812083800-10-3320200,大雨注意報,倉敷市,2021-08-12 08:38:00+09,2021-08-12 09:29:00+09,0日00時51分00秒間
762,20210812081500-18-3320200,洪水注意報,倉敷市,2021-08-12 08:15:00+09,2021-08-12 09:29:00+09,0日01時14分00秒間
763,20210811161200-19-3320200,高潮注意報,倉敷市,2021-08-11 16:12:00+09,2021-08-12 02:45:00+09,0日10時33分00秒間
764,20210810154500-19-3320200,高潮注意報,倉敷市,2021-08-10 15:45:00+09,2021-08-11 02:29:00+09,0日10時44分00秒間
765,20210810100800-14-3320200,雷注意報,倉敷市,2021-08-10 10:08:00+09,2021-08-10 20:46:00+09,0日10時38分00秒間
766,20210808152600-19-3320200,高潮注意報,倉敷市,2021-08-08 15:26:00+09,2021-08-10 02:20:00+09,1日10時54分00秒間
767,20210808152600-15-3320200,強風注意報,倉敷市,2021-08-08 15:26:00+09,2021-08-09 23:07:00+09,1日07時41分00秒間
768,20210808152600-16-3320200,波浪注意報,倉敷市,2021-08-08 15:26:00+09,2021-08-09 23:07:00+09,1日07時41分00秒間
769,20210808035600-14-3320200,雷注意報,倉敷市,2021-08-08 03:56:00+09,2021-08-09 23:07:00+09,1日19時11分00秒間
770,20210809041500-10-3320200,大雨注意報,倉敷市,2021-08-09 04:15:00+09,2021-08-09 06:02:00+09,0日01時47分00秒間
771,20210809041500-18-3320200,洪水注意報,倉敷市,2021-08-09 04:15:00+09,2021-08-09 06:02:00+09,0日01時47分00秒間
772,20210808224700-04-3320200,洪水警報,倉敷市,2021-08-08 22:47:00+09,2021-08-09 04:15:00+09,0日05時28分00秒間
773,20210808210600-03-3320200,大雨警報,倉敷市,2021-08-08 21:06:00+09,2021-08-09 04:15:00+09,0日07時09分00秒間
774,20210808180100-18-3320200,洪水注意報,倉敷市,2021-08-08 18:01:00+09,2021-08-08 22:47:00+09,0日04時46分00秒間
775,20210808152600-10-3320200,大雨注意報,倉敷市,2021-08-08 15:26:00+09,2021-08-08 21:06:00+09,0日05時40分00秒間
776,20210807151300-19-3320200,高潮注意報,倉敷市,2021-08-07 15:13:00+09,2021-08-08 02:42:00+09,0日11時29分00秒間
777,20210807100200-14-3320200,雷注意報,倉敷市,2021-08-07 10:02:00+09,2021-08-07 22:05:00+09,0日12時03分00秒間
778,20210806161900-19-3320200,高潮注意報,倉敷市,2021-08-06 16:19:00+09,2021-08-07 01:02:00+09,0日08時43分00秒間
779,20210806094600-14-3320200,雷注意報,倉敷市,2021-08-06 09:46:00+09,2021-08-06 21:17:00+09,0日11時31分00秒間
780,20210805101100-14-3320200,雷注意報,倉敷市,2021-08-05 10:11:00+09,2021-08-05 20:50:00+09,0日10時39分00秒間
781,20210804095300-14-3320200,雷注意報,倉敷市,2021-08-04 09:53:00+09,2021-08-04 20:34:00+09,0日10時41分00秒間
782,20210803034400-14-3320200,雷注意報,倉敷市,2021-08-03 03:44:00+09,2021-08-03 21:10:00+09,0日17時26分00秒間
783,20210801093800-14-3320200,雷注意報,倉敷市,2021-08-01 09:38:00+09,2021-08-01 19:58:00+09,0日10時20分00秒間
784,20210731100200-14-3320200,雷注意報,倉敷市,2021-07-31 10:02:00+09,2021-07-31 22:51:00+09,0日12時49分00秒間
785,20210729100200-14-3320200,雷注意報,倉敷市,2021-07-29 10:02:00+09,2021-07-29 22:19:00+09,0日12時17分00秒間
786,20210728101700-14-3320200,雷注意報,倉敷市,2021-07-28 10:17:00+09,2021-07-28 21:28:00+09,0日11時11分00秒間
787,20210727160200-19-3320200,高潮注意報,倉敷市,2021-07-27 16:02:00+09,2021-07-28 03:18:00+09,0日11時16分00秒間
788,20210726160700-19-3320200,高潮注意報,倉敷市,2021-07-26 16:07:00+09,2021-07-27 02:55:00+09,0日10時48分00秒間
789,20210725154400-19-3320200,高潮注意報,倉敷市,2021-07-25 15:44:00+09,2021-07-26 02:38:00+09,0日10時54分00秒間
790,20210724154700-19-3320200,高潮注意報,倉敷市,2021-07-24 15:47:00+09,2021-07-25 02:16:00+09,0日10時29分00秒間
791,20210723155000-19-3320200,高潮注意報,倉敷市,2021-07-23 15:50:00+09,2021-07-24 01:22:00+09,0日09時32分00秒間
792,20210722154800-19-3320200,高潮注意報,倉敷市,2021-07-22 15:48:00+09,2021-07-23 01:02:00+09,0日09時14分00秒間
793,20210720093400-14-3320200,雷注意報,倉敷市,2021-07-20 09:34:00+09,2021-07-20 19:48:00+09,0日10時14分00秒間
794,20210719095100-14-3320200,雷注意報,倉敷市,2021-07-19 09:51:00+09,2021-07-19 15:55:00+09,0日06時04分00秒間
795,20210718100500-14-3320200,雷注意報,倉敷市,2021-07-18 10:05:00+09,2021-07-18 20:34:00+09,0日10時29分00秒間
796,20210717094000-14-3320200,雷注意報,倉敷市,2021-07-17 09:40:00+09,2021-07-17 20:23:00+09,0日10時43分00秒間
797,20210716093500-14-3320200,雷注意報,倉敷市,2021-07-16 09:35:00+09,2021-07-16 20:09:00+09,0日10時34分00秒間
798,20210715202000-18-3320200,洪水注意報,倉敷市,2021-07-15 20:20:00+09,2021-07-15 22:35:00+09,0日02時15分00秒間
799,20210713040400-14-3320200,雷注意報,倉敷市,2021-07-13 04:04:00+09,2021-07-15 22:35:00+09,2日18時31分00秒間
800,20210715202000-10-3320200,大雨注意報,倉敷市,2021-07-15 20:20:00+09,2021-07-15 20:53:00+09,0日00時33分00秒間
